2859,7
2890,7
2885,7
2896,7
2903,7
2905,7
2894,7
2893,7
2892,7
2891,7
3017,7
2917,7
2915,7
2907,7
2931,7
2929,7
2927,7
2906,7
2987,7
2902,7
2909,7
2919,7
2928,7
2926,7
2918,7
2924,7
2986,7
2901,7
2910,7
2908,7
2914,7
2977,7
2870,7
2889,7
2941,7
2925,7
2992,7
2980,7
2913,7
2899,7
3002,7
3045,7
3088,7
3059,7
2897,7
3313,7
3419,7
2942,7
2991,7
2971,7
3007,7
3006,7
3003,7
3000,7
3019,7
3035,7
3031,7
3027,7
3028,7
3099,7
2993,7
3061,7
3029,7
3063,7
3103,7
3070,7
3046,7
3116,7
3121,7
3131,7
3141,7
3139,7
3149,7
3164,7
3181,7
3191,7
3199,7
3216,7
3473,7
3445,7
3407,7
3418,7
2769,7
2800,7
2782,7
2772,7
2781,7
2779,7
2751,7
2791,7
2792,7
2795,7
2802,7
2793,7
2818,7
2811,7
2823,7
2827,7
2832,7
2830,7
1872,1
1890,1
1881,1
1874,1
1859,1
1838,1
1833,1
1850,1
1871,1
1904,1
1846,1
1840,1
1851,1
1855,1
1862,1
1888,1
1867,1
1866,1
1878,1
1886,1
1891,1
1869,1
1877,1
1885,1
1865,1
1876,1
1873,1
1879,1
1884,1
1898,1
1897,1
1894,1
1942,1
1925,1
1968,1
1910,1
1857,1
1870,1
1875,1
1883,1
1887,1
1901,1
1889,1
1903,1
1909,1
1907,1
1915,1
1936,1
1947,1
1913,1
1893,1
1917,1
1930,1
1938,1
1900,1
1882,1
1908,1
1906,1
1819,1
1880,1
1837,1
1921,1
1895,1
1861,1
1911,1
1905,1
1902,1
1914,1
1899,1
1919,1
1922,1
1935,1
1923,1
1931,1
1937,1
1967,1
1969,1
1981,1
1966,1
1963,1
1984,1
1965,1
1991,1
1999,1
1955,1
1941,1
1939,1
1948,1
1959,1
1961,1
1943,1
1949,1
1946,1
1950,1
1952,1
1951,1
1962,1
1957,1
1958,1
1920,1
2766,3
2762,3
2768,3
2771,3
2775,3
2764,3
2769,3
2773,3
2758,3
2765,3
2767,3
2847,3
2777,3
2748,3
2761,3
2752,3
2770,3
2778,3
2785,3
2759,3
2787,3
2781,3
2750,3
2779,3
2776,3
2790,3
2786,3
2791,3
2788,3
2793,3
2800,3
2801,3
2795,3
2804,3
2797,3
2757,3
2816,3
2789,3
2792,3
2763,3
2798,3
2815,3
2805,3
2820,3
2818,3
2803,3
2799,3
2806,3
2821,3
2811,3
2905,3
2807,3
2802,3
2819,3
2810,3
2828,3
2830,3
2837,3
2827,3
2822,3
2832,3
2896,3
2823,3
2831,3
2829,3
2857,3
2844,3
2834,3
2833,3
2839,3
2843,3
2825,3
2836,3
2845,3
2841,3
2842,3
2817,3
2849,3
2838,3
2813,3
2835,3
2887,3
2855,3
2864,3
2774,3
2859,3
2914,3
2906,3
2852,3
2848,3
2846,3
2876,3
2851,3
2853,3
2854,3
2858,3
2863,3
2840,3
2850,3
2873,3
2873,0
2882,0
2896,0
2890,0
2880,0
2885,0
2877,0
2887,0
2881,0
2883,0
2879,0
2884,0
2886,0
2891,0
2859,0
2862,0
2871,0
2909,0
2870,0
2875,0
2848,0
2903,0
2866,0
2898,0
2844,0
2878,0
2752,0
2889,0
2876,0
2874,0
2869,0
2910,0
2893,0
2888,0
2906,0
2864,0
2826,0
2855,0
2892,0
2868,0
2897,0
2895,0
2933,0
2918,0
2845,0
2914,0
2901,0
2867,0
2854,0
2860,0
2857,0
2894,0
2863,0
2865,0
2872,0
2930,0
2735,0
2835,0
2817,0
2853,0
2861,0
2852,0
2858,0
2847,0
2837,0
2849,0
2821,0
2928,0
2851,0
2935,0
2850,0
2842,0
2804,0
2827,0
2843,0
2917,0
2856,0
2846,0
2841,0
2838,0
2832,0
2830,0
2784,0
2839,0
2836,0
2833,0
2815,0
2829,0
2840,0
2834,0
2831,0
2768,0
2822,0
2806,0
2814,0
2899,0
2778,0
2825,0
2737,0
2801,0
